Dust emission spectrum from A.P. Jones, M. Kohler, N. Ysard, M. Bocchio, and L. Verstraete (2017), A&A, 602A, 46J 
inside the DustPedia framework.

lambda    nu*dP/dnu     j_nu    j_nu(carb.) j_nu(sil)
 (um)   (erg s-1 H-1) (Jy cm2 sr-1 H-1)
7.242904273305506 2.3485209238912017e-23 4.515196050801765e-15 4.432318396620017e-15 8.28776541817494e-17
7.297432294932914 2.571430254879447e-23 4.9809737936124555e-15 4.895149930034928e-15 8.582386357752833e-17
7.352370829391971 2.826033570746558e-23 5.5153636556374184e-15 5.425680093310868e-15 8.968356232655028e-17
7.379995003818881 2.984161517941698e-23 5.845852140388787e-15 5.753897357146807e-15 9.195478324197735e-17
7.407722967218148 3.1579981786804286e-23 6.2096345323743095e-15 6.115304592100202e-15 9.432994027410567e-17
7.463496598684601 3.5974883970845335e-23 7.127072459002522e-15 7.02738393117727e-15 9.96885278252474e-17
7.519690156487492 4.1643754655571087e-23 8.312262665702777e-15 8.206281569830667e-15 1.0598109587210989e-16
7.533803324048627 4.329111191849062e-23 8.657299697396983e-15 8.549535860186168e-15 1.0776383721081083e-16
7.547942979602549 4.5009578133346634e-23 9.017849563649217e-15 8.908272530923272e-15 1.0957703272594384e-16
7.57630195363571 4.862459608175379e-23 9.778735852280225e-15 9.665417389141536e-15 1.1331846313868882e-16
7.590521371821866 5.045028034232318e-23 1.0164935431766588e-14 1.0049654935766066e-14 1.1528049600052159e-16
7.604767477414989 5.2349653221679277e-23 1.0567425185830656e-14 1.0450148334194308e-14 1.172768516363488e-16
7.633339951266878 5.615851289411256e-23 1.1378883109757142e-14 1.1257602141030548e-14 1.212809687265944e-16
7.662019777021956 5.910517959138723e-23 1.202093483776953e-14 1.1896025771901465e-14 1.2490906586806297e-16
7.690807358020558 6.110461400170071e-23 1.24742766424867e-14 1.2346288059101065e-14 1.2798858338562842e-16
7.719703099118437 6.209552680620164e-23 1.272419589287631e-14 1.2593722520630843e-14 1.3047337224545915e-16
7.748707406692464 6.187146858351357e-23 1.2725917977520594e-14 1.2593100566505258e-14 1.3281741101533077e-16
7.777823177463063 6.072909275597956e-23 1.2537885280412762e-14 1.2400472519665644e-14 1.3741276074712587e-16
7.807048350752435 5.901161661991596e-23 1.2229080797197405e-14 1.2086428480560883e-14 1.4265231663652371e-16
7.836380830085272 5.665860635725786e-23 1.1785577131754184e-14 1.1637762881351011e-14 1.478142504031704e-16
7.851088371676256 5.503613799232221e-23 1.1469572996210142e-14 1.1319520199529841e-14 1.5005279668030655e-16
7.86582351679805 5.331948833599792e-23 1.1132676885038914e-14 1.0980529581198223e-14 1.5214730384068768e-16
7.89537682495964 4.9540321196046106e-23 1.0382480249017993e-14 1.0226710469831641e-14 1.5576977918635356e-16
7.9250411701946435 4.5477221434901935e-23 9.566760074756481e-15 9.407169897690915e-15 1.5959017706556625e-16
7.939915112024199 4.332999438817777e-23 9.132168688133136e-15 8.970553798618222e-15 1.616148895149186e-16
7.954816969689239 4.1299646442780156e-23 8.72059180335993e-15 8.556846953703928e-15 1.6374484965600376e-16
7.9847046421970465 3.7559316795856023e-23 7.960603128053136e-15 7.792220431819345e-15 1.6838269623379176e-16
8.044817289139356 3.1285811320095144e-23 6.680870288878246e-15 6.501325840495638e-15 1.7954444838260748e-16
8.07504310897143 2.8973595175159026e-23 6.2103584899078615e-15 6.024072622151898e-15 1.8628586775596522e-16
8.105382492623747 2.69324334667004e-23 5.794534363290608e-15 5.601050728897308e-15 1.9348363439329872e-16
8.135835866775926 2.5321557040484564e-23 5.468421961576293e-15 5.2677232488081106e-15 2.0069871276818248e-16
8.166403659710703 2.4116314978621487e-23 5.227706820044247e-15 5.019182159611384e-15 2.0852466043286337e-16
8.197086301319933 2.3232744632267673e-23 5.055096602587326e-15 4.838348401590068e-15 2.167482009972576e-16
8.227884223110665 2.2463505850472544e-23 4.906085833244549e-15 4.680628539076397e-15 2.2545729416815265e-16
8.258797858211198 2.2048144614277548e-23 4.833462108336663e-15 4.5965536943724e-15 2.369084139642625e-16
8.289827641377162 2.2003433408566866e-23 4.841783736472512e-15 4.582355827364492e-15 2.594279091080197e-16
8.320974008997652 2.224421385208541e-23 4.913157202906393e-15 4.62667154016601e-15 2.864856627403842e-16
8.35223739910135 2.2605788435417085e-23 5.011779112530138e-15 4.695717761100077e-15 3.160613514300596e-16
8.383618251362687 2.347913133770109e-23 5.224959791531805e-15 4.878981480829094e-15 3.4597831070270996e-16
8.415117007108037 2.4690482752459867e-23 5.51517342511427e-15 5.136689865912863e-15 3.7848355920140745e-16
8.446734109321913 2.6265801453117938e-23 5.889099791414636e-15 5.4773049597535e-15 4.117948316611347e-16
8.478470002653195 2.823617091815382e-23 6.354665912586542e-15 5.908688943969021e-15 4.459769686175224e-16
8.542299949622933 3.249781286937955e-23 7.368827389705844e-15 6.851100093319172e-15 5.177272963866689e-16
8.558332380220154 3.340422438252058e-23 7.588570522559664e-15 7.052463920592178e-15 5.361066019674887e-16
8.574394900937412 3.3993575872219275e-23 7.736949568645842e-15 7.182575064386366e-15 5.543745042594758e-16
8.606610438733982 3.410535112561655e-23 7.79155434340183e-15 7.201297709619958e-15 5.902566337818697e-16
8.622764948673899 3.373398669709402e-23 7.721179519583614e-15 7.112953375145512e-15 6.082261444381024e-16
8.638949780445296 3.2862592228417134e-23 7.535849220834111e-15 6.91015518197542e-15 6.256940388586944e-16
8.655163606183647 3.197859209029672e-23 7.34689873755049e-15 6.703305465177683e-15 6.43593272372807e-16
8.671407862489573 3.091889879190509e-23 7.116772197596254e-15 6.455228605284543e-15 6.615435923117117e-16
8.703987895363145 2.838997527975155e-23 6.5592279770099216e-15 5.861737431934133e-15 6.974905450757884e-16
8.736690337257128 2.6160703441924472e-23 6.066885429969631e-15 5.3316431432809335e-15 7.352422866886991e-16
8.802464289484785 2.2457269197003373e-23 5.247236632738571e-15 4.431942297795831e-15 8.152943349427414e-16
