Dust emission spectrum from A.P. Jones, M. Kohler, N. Ysard, M. Bocchio, and L. Verstraete (2017), A&A, 602A, 46J 
inside the DustPedia framework.

lambda    nu*dP/dnu     j_nu    j_nu(carb.) j_nu(sil)
 (um)   (erg s-1 H-1) (Jy cm2 sr-1 H-1)
7.533803324048627 2.606904658969537e-23 5.2132536945996335e-15 5.213253396282162e-15 2.9831747242634244e-22
7.547942979602549 2.72467596167753e-23 5.458997606977193e-15 5.458997295593613e-15 3.113835795120401e-22
7.57630195363571 2.973042339947659e-23 5.978989660112088e-15 5.978989320976044e-15 3.391360454773683e-22
7.590521371821866 3.09860522148554e-23 6.2432005910009005e-15 6.243200237298449e-15 3.537024524435901e-22
7.604767477414989 3.2294719955358205e-23 6.51908878136123e-15 6.519088412474215e-15 3.688870164447708e-22
7.633339951266878 3.492673614775559e-23 7.0768834064390804e-15 7.076883006354161e-15 4.000849186936532e-22
7.662019777021956 3.697543572600142e-23 7.520141323200851e-15 7.520140895374062e-15 4.278267880603011e-22
7.690807358020558 3.8382346808984014e-23 7.835611436311619e-15 7.835610985317308e-15 4.509943096207449e-22
7.719703099118437 3.910194842185824e-23 8.01250713381788e-15 8.012506664934227e-15 4.688836530440626e-22
7.748707406692464 3.898754699999413e-23 8.019081114859142e-15 8.019080635111759e-15 4.797473839308026e-22
7.777823177463063 3.823231711754412e-23 7.893291077972355e-15 7.893290593089601e-15 4.848827572085386e-22
7.807048350752435 3.707653961775283e-23 7.683436323840126e-15 7.683435837761656e-15 4.860784712827159e-22
7.836380830085272 3.5479417694923526e-23 7.38008646376954e-15 7.380085981167684e-15 4.826018550231244e-22
7.851088371676256 3.437192145360721e-23 7.163134560552674e-15 7.16313408295948e-15 4.775931939255342e-22
7.86582351679805 3.319833124386354e-23 6.931542413375029e-15 6.9315419420548946e-15 4.713201342478118e-22
7.89537682495964 3.0608937626582707e-23 6.414909768021097e-15 6.4149093131404735e-15 4.548806233376089e-22
7.9250411701946435 2.7814594654187663e-23 5.85118319099856e-15 5.851182753861123e-15 4.371374360240723e-22
7.939915112024199 2.633131380026255e-23 5.5495506703728925e-15 5.54955024254796e-15 4.27824932329018e-22
7.954816969689239 2.4928988635173806e-23 5.263859443909447e-15 5.2638590251577174e-15 4.1875172946913647e-22
7.9847046421970465 2.2342970795838106e-23 4.735536702493286e-15 4.7355363010409204e-15 4.014523641057622e-22
8.044817289139356 1.7980983778570114e-23 3.839715680120182e-15 3.8397153090336305e-15 3.7108655083542165e-22
8.07504310897143 1.6359863799242436e-23 3.5066624775122995e-15 3.5066621182160894e-15 3.592962104221737e-22
8.105382492623747 1.4925884536655052e-23 3.2113158640897108e-15 3.2113155149906247e-15 3.4909908589779407e-22
8.135835866775926 1.3787759581078873e-23 2.9775928539291282e-15 2.9775925100988217e-15 3.438303066854047e-22
8.166403659710703 1.292808148109642e-23 2.8024273106702755e-15 2.8024269698688383e-15 3.408014366570055e-22
8.197086301319933 1.2290535359858024e-23 2.6742360631514166e-15 2.6742357221163953e-15 3.41035021307547e-22
8.227884223110665 1.1731026531203461e-23 2.5620855202769945e-15 2.5620851782969513e-15 3.4198004228822836e-22
8.258797858211198 1.1409549318602417e-23 2.501236510801532e-15 2.5012361644703938e-15 3.4633113787479853e-22
8.289827641377162 1.1312789407813814e-23 2.4893424017892398e-15 2.48934204748434e-15 3.5430490004325323e-22
8.320974008997652 1.1402895642568317e-23 2.518597385945476e-15 2.5185970205700724e-15 3.6537540337297382e-22
8.35223739910135 1.15710839436643e-23 2.565348117977272e-15 2.565347739664011e-15 3.7831326025710043e-22
8.383618251362687 1.2100654466344491e-23 2.692835272672413e-15 2.6928348745414126e-15 3.9813100021210072e-22
8.415117007108037 1.2863332476415107e-23 2.8733139867532952e-15 2.8733135667736385e-15 4.199796573193504e-22
8.446734109321913 1.3884736362689286e-23 3.1131202359581587e-15 3.1131197876846045e-15 4.48273554775866e-22
8.478470002653195 1.5188099454497824e-23 3.4181439884406997e-15 3.4181435060353718e-15 4.824053282158857e-22
8.542299949622933 1.8032709556829346e-23 4.088888216172172e-15 4.088887658008348e-15 5.581638232974793e-22
8.558332380220154 1.8633983060521056e-23 4.233156050913707e-15 4.233155474988851e-15 5.759248543149453e-22
8.574394900937412 1.901193376965175e-23 4.327122669623029e-15 4.327122079782994e-15 5.898400345355451e-22
8.606610438733982 1.901306396301123e-23 4.343638643588334e-15 4.34363803924578e-15 6.043425555184163e-22
8.622764948673899 1.870894691110472e-23 4.282183989105647e-15 4.2821833830593894e-15 6.060462562713106e-22
8.638949780445296 1.8049145643610206e-23 4.138919997233363e-15 4.138919396286554e-15 6.009468084214101e-22
8.655163606183647 1.7378524606677827e-23 3.992616689714522e-15 3.9926160943830765e-15 5.95331445815962e-22
8.671407862489573 1.6579842749253545e-23 3.8162731704176295e-15 3.8162725830785466e-15 5.8733908429408745e-22
8.703987895363145 1.4684282750210942e-23 3.3926608701982175e-15 3.3926603054380775e-15 5.647601407533069e-22
8.736690337257128 1.2996800983588787e-23 3.0140666017866563e-15 3.0140660579970703e-15 5.437895855345587e-22
